cMD proposed code	doi.org link	Sequence Acc. code	Seq. Repo.	Sequence Acquisition status	Sample metadata acquisition status	Cases/Controls	Country & geography	Funding sources	Notes
	10.1007/s10517-017-3700-7								
	10.1038/s41531-024-00687-1								
	10.1016/j.parkreldis.2020.10.034								
	10.1128/mSystems.00561-20								
	10.1002/mds.27581								
	10.3389/fnmol.2019.00171								
	10.1371/journal.pone.0218252								
	10.3389/fnins.2019.01184								
	10.1016/j.bbi.2018.02.016								
